"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"D1";"1N4148";"1N4148DO35-10";"DO35-10";"DIODE";"";"";"";"";
"F1";"M1A";"FUSE_SH22,1";"SH22,1";"FUSE HOLDER grid 22,5 mm, OGN0031 8201, Schurter (Buerklin)";"SCHURTER";"0031.8201";"1162740";"96F8317";
"F2";"M2A";"FUSE_SH22,1";"SH22,1";"FUSE HOLDER grid 22,5 mm, OGN0031 8201, Schurter (Buerklin)";"SCHURTER";"0031.8201";"1162740";"96F8317";
"F3";"M2A";"FUSE_SH22,1";"SH22,1";"FUSE HOLDER grid 22,5 mm, OGN0031 8201, Schurter (Buerklin)";"SCHURTER";"0031.8201";"1162740";"96F8317";
"F4";"M1A";"FUSE_SH22,1";"SH22,1";"FUSE HOLDER grid 22,5 mm, OGN0031 8201, Schurter (Buerklin)";"SCHURTER";"0031.8201";"1162740";"96F8317";
"JP1";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";
"JP2";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";
"JP3";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";
"JP4";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";
"R1";"1k";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";
"R2";"1k";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";
"R3";"1k";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";
"R4";"1k";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";
"TR1";"BLOCK FL14/9";"UI39";"UI39";"TRANSFORMER";"";"";"";"";
"X1";"230V~";"250-502/000-006";"P-250-502";"Serie 250,  1-Leiter-Klemmenleiste für Leiterplatten 1 Lötstift/Pol in Reihe / Series 250,  1-conductor PCB terminal strip 1 solder pin/pole, in linePolzahl / Pole No.: 2 Rastermaß / Pitch: 5 mmBemessungsspannung / Rated Voltage: 320  VNennstrom / Nominal Current: 17.5  ALeiterquerschnitt / Conductor Size: 0.5 - 1.5 mm²Anschlusstechnik / Connection Technology: Steckklemm-Anschluss Lötstiftlänge: / Solder Pin Length: 4 mmLeitereinführung (zur Platine) / Conductor entry angle (to PCB): 45 °Farbe / Color: blau / blue Stand: 01.01.2012. Die jeweils aktuellen Daten zu diesem Artikel finden Sie in unserem Produktkatalog, den Sie unter www.wago.com einsehen können.  As of: 01/01/2012. Please find the newest data for this article in our product catalogue, which can be viewed under www.wago.com.";"";"";"";"";
"X2";"DC Rails from Meanwell";"250-504/000-006";"P-250-504";"Serie 250,  1-Leiter-Klemmenleiste für Leiterplatten 1 Lötstift/Pol in Reihe / Series 250,  1-conductor PCB terminal strip 1 solder pin/pole, in linePolzahl / Pole No.: 4 Rastermaß / Pitch: 5 mmBemessungsspannung / Rated Voltage: 320  VNennstrom / Nominal Current: 17.5  ALeiterquerschnitt / Conductor Size: 0.5 - 1.5 mm²Anschlusstechnik / Connection Technology: Steckklemm-Anschluss Lötstiftlänge: / Solder Pin Length: 4 mmLeitereinführung (zur Platine) / Conductor entry angle (to PCB): 45 °Farbe / Color: blau / blue Stand: 01.01.2012. Die jeweils aktuellen Daten zu diesem Artikel finden Sie in unserem Produktkatalog, den Sie unter www.wago.com einsehen können.  As of: 01/01/2012. Please find the newest data for this article in our product catalogue, which can be viewed under www.wago.com.";"";"";"";"";
"X3";"C64/C128";"250-504/000-006";"P-250-504";"Serie 250,  1-Leiter-Klemmenleiste für Leiterplatten 1 Lötstift/Pol in Reihe / Series 250,  1-conductor PCB terminal strip 1 solder pin/pole, in linePolzahl / Pole No.: 4 Rastermaß / Pitch: 5 mmBemessungsspannung / Rated Voltage: 320  VNennstrom / Nominal Current: 17.5  ALeiterquerschnitt / Conductor Size: 0.5 - 1.5 mm²Anschlusstechnik / Connection Technology: Steckklemm-Anschluss Lötstiftlänge: / Solder Pin Length: 4 mmLeitereinführung (zur Platine) / Conductor entry angle (to PCB): 45 °Farbe / Color: blau / blue Stand: 01.01.2012. Die jeweils aktuellen Daten zu diesem Artikel finden Sie in unserem Produktkatalog, den Sie unter www.wago.com einsehen können.  As of: 01/01/2012. Please find the newest data for this article in our product catalogue, which can be viewed under www.wago.com.";"";"";"";"";
"X4";"Floppy Drive";"250-504/000-006";"P-250-504";"Serie 250,  1-Leiter-Klemmenleiste für Leiterplatten 1 Lötstift/Pol in Reihe / Series 250,  1-conductor PCB terminal strip 1 solder pin/pole, in linePolzahl / Pole No.: 4 Rastermaß / Pitch: 5 mmBemessungsspannung / Rated Voltage: 320  VNennstrom / Nominal Current: 17.5  ALeiterquerschnitt / Conductor Size: 0.5 - 1.5 mm²Anschlusstechnik / Connection Technology: Steckklemm-Anschluss Lötstiftlänge: / Solder Pin Length: 4 mmLeitereinführung (zur Platine) / Conductor entry angle (to PCB): 45 °Farbe / Color: blau / blue Stand: 01.01.2012. Die jeweils aktuellen Daten zu diesem Artikel finden Sie in unserem Produktkatalog, den Sie unter www.wago.com einsehen können.  As of: 01/01/2012. Please find the newest data for this article in our product catalogue, which can be viewed under www.wago.com.";"";"";"";"";
